doctor_folder,planned_date,topic_en,slug_hint,status,built_slug,built_url,built_at
dr-owais,2026-06-27,Nausea and vomiting after chemotherapy,nausea-vomiting-chemotherapy,published,what-is-a-chemo-port,https://cioncancerdrowais.com/what-is-a-chemo-port.html,2026-06-27
dr-owais,2026-06-28,Hair loss during cancer treatment,hair-loss-cancer-treatment,pending,,,
dr-owais,2026-06-29,Cancer-related fatigue management,cancer-fatigue-management,pending,,,
dr-owais,2026-06-30,Nutrition and diet during cancer treatment,cancer-nutrition-diet,pending,,,
dr-owais,2026-07-01,Breast cancer treatment options,breast-cancer-treatment,pending,,,
dr-owais,2026-07-02,Cervical cancer symptoms and treatment,cervical-cancer-treatment,pending,,,
dr-owais,2026-07-03,Ovarian cancer signs and diagnosis,ovarian-cancer-diagnosis,pending,,,
dr-owais,2026-07-04,Colorectal cancer screening,colorectal-cancer-screening,pending,,,
dr-owais,2026-07-05,What is lymphoma,what-is-lymphoma,pending,,,
dr-owais,2026-07-06,Types of leukemia,types-of-leukemia,pending,,,
dr-owais,2026-07-07,Multiple myeloma treatment,multiple-myeloma-treatment,pending,,,
dr-owais,2026-07-08,Blood tests used in cancer diagnosis,blood-tests-cancer-diagnosis,pending,,,
dr-owais,2026-07-09,PET-CT scan explained for patients,pet-ct-scan-explained,pending,,,
dr-owais,2026-07-10,Palliative care in cancer,palliative-care-cancer,pending,,,
dr-owais,2026-07-11,Genetic testing for cancer risk,genetic-testing-cancer-risk,pending,,,
dr-owais,2026-07-12,Hereditary cancer syndromes,hereditary-cancer-syndromes,pending,,,
dr-owais,2026-07-13,Managing cancer recurrence,managing-cancer-recurrence,pending,,,
dr-owais,2026-07-14,Immunotherapy side effects,immunotherapy-side-effects,pending,,,
dr-owais,2026-07-15,Targeted therapy explained,targeted-therapy-explained,pending,,,
dr-owais,2026-07-16,Oral chemotherapy medications,oral-chemotherapy-medications,pending,,,
dr-owais,2026-07-17,Chemotherapy port explained,chemotherapy-port-explained,pending,,,
dr-owais,2026-07-18,Cancer clinical trials in India,cancer-clinical-trials-india,pending,,,
dr-owais,2026-07-19,Questions to ask your oncologist,questions-to-ask-oncologist,pending,,,
dr-owais,2026-07-20,Cancer survivorship care,cancer-survivorship-care,pending,,,
dr-owais,2026-07-21,Fertility preservation before chemotherapy,fertility-preservation-chemotherapy,pending,,,
dr-owais,2026-07-22,Mouth sores during chemotherapy,mouth-sores-chemotherapy,pending,,,
dr-owais,2026-07-23,Neuropathy from chemotherapy,chemotherapy-neuropathy,pending,,,
dr-owais,2026-07-24,Cancer and diabetes management,cancer-diabetes-management,pending,,,
dr-owais,2026-07-25,Blood transfusion in cancer treatment,blood-transfusion-cancer,pending,,,
dr-owais,2026-07-26,Anti-nausea medications for chemotherapy,anti-nausea-medications-chemotherapy,pending,,,
dr-owais,2026-07-27,Cancer diagnosis process step by step,cancer-diagnosis-process,pending,,,
dr-owais,2026-07-28,Reading your pathology report,reading-pathology-report,pending,,,
dr-owais,2026-07-29,Cancer prognosis what it means,cancer-prognosis-explained,pending,,,
dr-owais,2026-07-30,Anaemia during cancer treatment,cancer-related-anaemia,pending,,,
dr-owais,2026-07-31,Skin changes during chemotherapy,skin-changes-chemotherapy,pending,,,
dr-owais,2026-08-01,Cancer treatment during pregnancy,cancer-treatment-pregnancy,pending,,,
dr-owais,2026-08-02,Triple negative breast cancer,triple-negative-breast-cancer,pending,,,
dr-owais,2026-08-03,HER2 positive breast cancer,her2-positive-breast-cancer,pending,,,
dr-owais,2026-08-04,Stomach cancer symptoms,stomach-cancer-symptoms,pending,,,
dr-owais,2026-08-05,Kidney cancer treatment options,kidney-cancer-treatment,pending,,,
dr-owais,2026-08-06,Bladder cancer diagnosis,bladder-cancer-diagnosis,pending,,,
dr-owais,2026-08-07,Thyroid cancer types and treatment,thyroid-cancer-treatment,pending,,,
dr-owais,2026-08-08,Prostate cancer treatment options,prostate-cancer-treatment,pending,,,
dr-owais,2026-08-09,Esophageal cancer symptoms,esophageal-cancer-symptoms,pending,,,
dr-owais,2026-08-10,Cervical cancer prevention and HPV vaccine,cervical-cancer-hpv-vaccine,pending,,,
dr-owais,2026-08-11,Cancer screening guidelines India,cancer-screening-india,pending,,,
dr-owais,2026-08-12,Why cancer second opinion matters,why-cancer-second-opinion,pending,,,
dr-owais,2026-08-13,Preparing for your first chemotherapy session,preparing-for-chemotherapy,pending,,,
dr-owais,2026-08-14,Cancer caregiver guide,cancer-caregiver-guide,pending,,,
dr-owais,2026-08-15,Cancer pain relief options,cancer-pain-relief,pending,,,
dr-vinay,2026-06-27,Types of cancer surgery,types-cancer-surgery,published,breast-cancer-staging,https://cioncancerdrvinay.com/breast-cancer-staging.html,2026-06-27
dr-vinay,2026-06-28,Laparoscopic cancer surgery explained,laparoscopic-cancer-surgery,pending,,,
dr-vinay,2026-06-29,Breast conservation surgery lumpectomy,lumpectomy-breast-surgery,pending,,,
dr-vinay,2026-06-30,Mastectomy types and recovery,mastectomy-types-recovery,pending,,,
dr-vinay,2026-07-01,Sentinel lymph node biopsy,sentinel-lymph-node-biopsy,pending,,,
dr-vinay,2026-07-02,Thyroid cancer surgery,thyroid-surgery-cancer,pending,,,
dr-vinay,2026-07-03,Colorectal cancer surgery,colorectal-surgery,pending,,,
dr-vinay,2026-07-04,Colostomy explained for patients,colostomy-explained,pending,,,
dr-vinay,2026-07-05,Ileostomy care and management,ileostomy-care,pending,,,
dr-vinay,2026-07-06,Liver resection surgery,liver-resection-surgery,pending,,,
dr-vinay,2026-07-07,Splenectomy for cancer,splenectomy-cancer,pending,,,
dr-vinay,2026-07-08,Kidney nephrectomy surgery,nephrectomy-surgery,pending,,,
dr-vinay,2026-07-09,Ovarian cancer debulking surgery,ovarian-debulking-surgery,pending,,,
dr-vinay,2026-07-10,Cancer surgery wound care,cancer-surgery-wound-care,pending,,,
dr-vinay,2026-07-11,Post-surgery pain management,post-surgery-pain-management,pending,,,
dr-vinay,2026-07-12,Recovery after cancer surgery,cancer-surgery-recovery,pending,,,
dr-vinay,2026-07-13,Cancer surgery complications,cancer-surgery-complications,pending,,,
dr-vinay,2026-07-14,DVT prevention after cancer surgery,dvt-prevention-after-surgery,pending,,,
dr-vinay,2026-07-15,Pre-surgery preparation for cancer,pre-surgery-preparation,pending,,,
dr-vinay,2026-07-16,Nutrition before cancer surgery,nutrition-before-cancer-surgery,pending,,,
dr-vinay,2026-07-17,Cancer surgery anaesthesia,cancer-surgery-anaesthesia,pending,,,
dr-vinay,2026-07-18,Surgical staging of cancer,surgical-staging-cancer,pending,,,
dr-vinay,2026-07-19,Curative vs palliative surgery,curative-vs-palliative-surgery,pending,,,
dr-vinay,2026-07-20,Breast reconstruction after mastectomy,breast-reconstruction-after-mastectomy,pending,,,
dr-vinay,2026-07-21,Port insertion for chemotherapy,port-insertion-surgery,pending,,,
dr-vinay,2026-07-22,Thoracoscopy VATS cancer surgery,vats-thoracoscopy,pending,,,
dr-vinay,2026-07-23,Esophagectomy for esophageal cancer,esophagectomy-surgery,pending,,,
dr-vinay,2026-07-24,Gastrectomy types for stomach cancer,gastrectomy-types,pending,,,
dr-vinay,2026-07-25,Pancreatectomy procedure,pancreatectomy-procedure,pending,,,
dr-vinay,2026-07-26,Whipple surgery recovery,whipple-surgery-recovery,pending,,,
dr-vinay,2026-07-27,Hernia after cancer surgery,hernia-after-cancer-surgery,pending,,,
dr-vinay,2026-07-28,Scar management after cancer surgery,scar-management-cancer-surgery,pending,,,
dr-vinay,2026-07-29,Cancer surgery in elderly patients,cancer-surgery-elderly,pending,,,
dr-vinay,2026-07-30,Cancer surgery cost Hyderabad,cancer-surgery-cost-hyderabad,pending,,,
dr-vinay,2026-07-31,Questions before cancer surgery,cancer-surgery-questions,pending,,,
dr-vinay,2026-08-01,Life after cancer surgery,life-after-cancer-surgery,pending,,,
dr-vinay,2026-08-02,Robotic cancer surgery India,robotic-cancer-surgery-india,pending,,,
dr-vinay,2026-08-03,Abdominal cancer surgery recovery,abdominal-cancer-surgery-recovery,pending,,,
dr-vinay,2026-08-04,Rectal cancer surgery options,rectal-cancer-surgery,pending,,,
dr-vinay,2026-08-05,Parathyroid surgery for cancer,parathyroid-surgery,pending,,,
dr-vinay,2026-08-06,Adrenalectomy procedure,adrenalectomy-procedure,pending,,,
dr-vinay,2026-08-07,Pelvic exenteration surgery,pelvic-exenteration-surgery,pending,,,
dr-vinay,2026-08-08,Surgical removal of lymph nodes,lymph-node-removal-surgery,pending,,,
dr-vinay,2026-08-09,Cancer biopsy types explained,cancer-biopsy-types,pending,,,
dr-vinay,2026-08-10,Intraoperative frozen section,intraoperative-frozen-section,pending,,,
dr-vinay,2026-08-11,R0 R1 R2 resection margins,cancer-resection-margins,pending,,,
dr-vinay,2026-08-12,Cancer surgery second opinion,cancer-surgery-second-opinion,pending,,,
dr-vinay,2026-08-13,Day surgery cancer procedures,day-surgery-cancer,pending,,,
dr-vinay,2026-08-14,Reconstructive flap surgery cancer,reconstructive-flap-surgery,pending,,,
dr-vinay,2026-08-15,Preparing questions for your surgeon,questions-for-cancer-surgeon,pending,,,
dr-murali,2026-06-27,Melanoma surgery and margins,melanoma-surgery,pending,,,
dr-murali,2026-06-28,Skin cancer surgery types,skin-cancer-surgery,pending,,,
dr-murali,2026-06-29,Retroperitoneal sarcoma surgery,retroperitoneal-sarcoma-surgery,pending,,,
dr-murali,2026-06-30,Leiomyosarcoma treatment,leiomyosarcoma-treatment,pending,,,
dr-murali,2026-07-01,Liposarcoma surgery,liposarcoma-surgery,pending,,,
dr-murali,2026-07-02,Limb-sparing surgery for bone cancer,limb-sparing-surgery,pending,,,
dr-murali,2026-07-03,Osteosarcoma limb salvage,osteosarcoma-limb-salvage,pending,,,
dr-murali,2026-07-04,Rectal cancer sphincter preservation,rectal-sphincter-preservation,pending,,,
dr-murali,2026-07-05,Low anterior resection surgery,low-anterior-resection,pending,,,
dr-murali,2026-07-06,Sigmoid colon cancer surgery,sigmoid-colon-cancer-surgery,pending,,,
dr-murali,2026-07-07,Laparoscopic bowel resection,laparoscopic-bowel-resection,pending,,,
dr-murali,2026-07-08,Hemorrhoids vs rectal cancer,hemorrhoids-vs-rectal-cancer,pending,,,
dr-murali,2026-07-09,Liver metastases surgery,liver-metastases-surgery,pending,,,
dr-murali,2026-07-10,Thermal ablation liver tumours,thermal-ablation-liver-tumours,pending,,,
dr-murali,2026-07-11,Bile duct repair surgery,bile-duct-repair-surgery,pending,,,
dr-murali,2026-07-12,Cholecystectomy for gallbladder cancer,cholecystectomy-gallbladder-cancer,pending,,,
dr-murali,2026-07-13,Total gastrectomy recovery,total-gastrectomy-recovery,pending,,,
dr-murali,2026-07-14,Small bowel resection surgery,small-bowel-resection,pending,,,
dr-murali,2026-07-15,Peritoneal wash cytology,peritoneal-wash-cytology,pending,,,
dr-murali,2026-07-16,Second-look surgery ovarian cancer,second-look-surgery-ovarian,pending,,,
dr-murali,2026-07-17,Interval debulking surgery,interval-debulking-surgery,pending,,,
dr-murali,2026-07-18,Cancer surgery in patients with diabetes,cancer-surgery-diabetes,pending,,,
dr-murali,2026-07-19,Anastomosis leak prevention after bowel surgery,anastomosis-leak-prevention,pending,,,
dr-murali,2026-07-20,Ewing sarcoma treatment,ewing-sarcoma-treatment,pending,,,
dr-murali,2026-07-21,Synovial sarcoma treatment,synovial-sarcoma-treatment,pending,,,
dr-murali,2026-07-22,Amputation for bone cancer,amputation-bone-cancer,pending,,,
dr-murali,2026-07-23,Right hemicolectomy surgery,right-hemicolectomy,pending,,,
dr-murali,2026-07-24,Left hemicolectomy surgery,left-hemicolectomy,pending,,,
dr-murali,2026-07-25,D2 lymphadenectomy gastric cancer,d2-lymphadenectomy-gastric,pending,,,
dr-murali,2026-07-26,Portal vein embolization surgery,portal-vein-embolization,pending,,,
dr-murali,2026-07-27,Distal pancreatectomy procedure,distal-pancreatectomy,pending,,,
dr-murali,2026-07-28,Gallbladder cancer radical cholecystectomy,radical-cholecystectomy-gallbladder,pending,,,
dr-murali,2026-07-29,GIST gastrointestinal stromal tumour,gist-tumour-treatment,pending,,,
dr-murali,2026-07-30,Mesenteric tumour resection,mesenteric-tumour-resection,pending,,,
dr-murali,2026-07-31,Colon cancer with peritoneal spread,colon-cancer-peritoneal-spread,pending,,,
dr-murali,2026-08-01,Uterine cancer surgery,uterine-cancer-surgery,pending,,,
dr-murali,2026-08-02,Malignant ascites management,malignant-ascites-management,pending,,,
dr-murali,2026-08-03,Laparoscopic staging peritoneal cancer,laparoscopic-staging-peritoneal,pending,,,
dr-murali,2026-08-04,Transverse colon cancer surgery,transverse-colon-cancer,pending,,,
dr-murali,2026-08-05,Anorectal cancer surgery,anorectal-cancer-surgery,pending,,,
dr-murali,2026-08-06,Diverticulitis vs colon cancer,diverticulitis-vs-colon-cancer,pending,,,
dr-murali,2026-08-07,Phantom limb pain management,phantom-limb-pain-management,pending,,,
dr-murali,2026-08-08,Intraoperative bleeding management,intraoperative-bleeding-management,pending,,,
dr-murali,2026-08-09,Liver cancer thermal microwave ablation,microwave-ablation-liver,pending,,,
dr-murali,2026-08-10,Proximal gastrectomy stomach cancer,proximal-gastrectomy,pending,,,
dr-murali,2026-08-11,Pancreatic resection recovery,pancreatic-resection-recovery,pending,,,
dr-murali,2026-08-12,Abdominoperineal resection APR,abdominoperineal-resection,pending,,,
dr-murali,2026-08-13,Stoma reversal after bowel surgery,stoma-reversal-surgery,pending,,,
dr-murali,2026-08-14,Enhanced recovery after surgery ERAS,eras-protocol-cancer-surgery,pending,,,
dr-murali,2026-08-15,Cancer surgery blood loss management,cancer-surgery-blood-loss,pending,,,
dr-sandeep,2026-06-27,Oral cancer surgery treatment,oral-cancer-surgery,pending,,,
dr-sandeep,2026-06-28,Tongue cancer treatment,tongue-cancer-treatment,pending,,,
dr-sandeep,2026-06-29,Lip cancer surgery,lip-cancer-surgery,pending,,,
dr-sandeep,2026-06-30,Buccal mucosa cheek cancer,buccal-mucosa-cancer,pending,,,
dr-sandeep,2026-07-01,Floor of mouth cancer,floor-of-mouth-cancer,pending,,,
dr-sandeep,2026-07-02,Laryngeal cancer voice box,laryngeal-cancer-treatment,pending,,,
dr-sandeep,2026-07-03,Total laryngectomy voice rehabilitation,laryngectomy-voice-rehab,pending,,,
dr-sandeep,2026-07-04,Hypopharyngeal cancer,hypopharyngeal-cancer,pending,,,
dr-sandeep,2026-07-05,Oropharyngeal cancer HPV related,oropharyngeal-cancer-hpv,pending,,,
dr-sandeep,2026-07-06,Tonsil cancer treatment,tonsil-cancer-treatment,pending,,,
dr-sandeep,2026-07-07,Nasopharyngeal cancer,nasopharyngeal-cancer,pending,,,
dr-sandeep,2026-07-08,Nasal cavity cancer,nasal-cavity-cancer,pending,,,
dr-sandeep,2026-07-09,Salivary gland cancer types,salivary-gland-cancer,pending,,,
dr-sandeep,2026-07-10,Parotid gland tumour surgery,parotid-gland-surgery,pending,,,
dr-sandeep,2026-07-11,Neck dissection types,neck-dissection-types,pending,,,
dr-sandeep,2026-07-12,Modified radical neck dissection,modified-radical-neck-dissection,pending,,,
dr-sandeep,2026-07-13,Total thyroidectomy surgery,total-thyroidectomy,pending,,,
dr-sandeep,2026-07-14,Papillary thyroid cancer treatment,papillary-thyroid-cancer,pending,,,
dr-sandeep,2026-07-15,Follicular thyroid cancer,follicular-thyroid-cancer,pending,,,
dr-sandeep,2026-07-16,Medullary thyroid cancer,medullary-thyroid-cancer,pending,,,
dr-sandeep,2026-07-17,Thyroid cancer recurrence,thyroid-cancer-recurrence,pending,,,
dr-sandeep,2026-07-18,Skull base tumour surgery,skull-base-tumour-surgery,pending,,,
dr-sandeep,2026-07-19,Carotid body tumour paraganglioma,paraganglioma-treatment,pending,,,
dr-sandeep,2026-07-20,Adenoid cystic carcinoma,adenoid-cystic-carcinoma,pending,,,
dr-sandeep,2026-07-21,Mucoepidermoid carcinoma,mucoepidermoid-carcinoma,pending,,,
dr-sandeep,2026-07-22,Head neck cancer trismus jaw,head-neck-cancer-trismus,pending,,,
dr-sandeep,2026-07-23,Dry mouth xerostomia after head neck cancer,xerostomia-cancer-treatment,pending,,,
dr-sandeep,2026-07-24,Swallowing difficulty after head neck cancer,dysphagia-head-neck-cancer,pending,,,
dr-sandeep,2026-07-25,Head neck cancer rehabilitation,head-neck-cancer-rehabilitation,pending,,,
dr-sandeep,2026-07-26,Speech therapy after laryngectomy,speech-therapy-laryngectomy,pending,,,
dr-sandeep,2026-07-27,Neck lump when to worry,neck-lump-causes,pending,,,
dr-sandeep,2026-07-28,Hoarseness persistent causes cancer,hoarseness-cancer-signs,pending,,,
dr-sandeep,2026-07-29,Non-healing mouth ulcer and cancer,mouth-ulcer-cancer-warning,pending,,,
dr-sandeep,2026-07-30,Leukoplakia oral cancer risk,leukoplakia-oral-cancer,pending,,,
dr-sandeep,2026-07-31,Submucous fibrosis and cancer,submucous-fibrosis-cancer,pending,,,
dr-sandeep,2026-08-01,Tobacco gutka and oral cancer,tobacco-oral-cancer,pending,,,
dr-sandeep,2026-08-02,Base of tongue cancer,base-of-tongue-cancer,pending,,,
dr-sandeep,2026-08-03,Partial laryngectomy voice preservation,partial-laryngectomy,pending,,,
dr-sandeep,2026-08-04,Palate cancer surgery,palate-cancer-surgery,pending,,,
dr-sandeep,2026-08-05,Jaw mandibular cancer surgery,jaw-cancer-surgery,pending,,,
dr-sandeep,2026-08-06,Paranasal sinus cancer,paranasal-sinus-cancer,pending,,,
dr-sandeep,2026-08-07,Anaplastic thyroid cancer,anaplastic-thyroid-cancer,pending,,,
dr-sandeep,2026-08-08,Head neck cancer Hyderabad treatment,head-neck-cancer-hyderabad,pending,,,
dr-sandeep,2026-08-09,Swallowing therapy after head neck cancer,swallowing-therapy-cancer,pending,,,
dr-sandeep,2026-08-10,Radiation after head neck surgery,radiation-head-neck-surgery,pending,,,
dr-sandeep,2026-08-11,Chemotherapy for head neck cancer,chemotherapy-head-neck-cancer,pending,,,
dr-sandeep,2026-08-12,Head neck cancer nutrition support,head-neck-cancer-nutrition,pending,,,
dr-sandeep,2026-08-13,Tracheostomy care after head neck surgery,tracheostomy-care-cancer,pending,,,
dr-sandeep,2026-08-14,Reconstructive surgery after head neck cancer,reconstruction-head-neck-cancer,pending,,,
dr-sandeep,2026-08-15,Questions to ask head neck cancer surgeon,head-neck-cancer-surgeon-questions,pending,,,
dr-kiranmayee,2026-06-27,Understanding cancer immunotherapy,understanding-immunotherapy,pending,,,
dr-kiranmayee,2026-06-28,Lung cancer types and stages,lung-cancer-types-stages,pending,,,
dr-kiranmayee,2026-06-29,Breast cancer hormone receptor positive,hormone-receptor-breast-cancer,pending,,,
dr-kiranmayee,2026-06-30,Non-Hodgkin lymphoma treatment,non-hodgkin-lymphoma,pending,,,
dr-kiranmayee,2026-07-01,Chronic myeloid leukemia CML,chronic-myeloid-leukemia,pending,,,
dr-kiranmayee,2026-07-02,Melanoma treatment options,melanoma-treatment,pending,,,
dr-kiranmayee,2026-07-03,Pancreatic cancer early signs,pancreatic-cancer-signs,pending,,,
dr-kiranmayee,2026-07-04,Liver cancer treatment Hyderabad,liver-cancer-treatment-hyderabad,pending,,,
dr-kiranmayee,2026-07-05,Endometrial uterine cancer treatment,uterine-cancer-treatment,pending,,,
dr-kiranmayee,2026-07-06,Bone cancer types and treatment,bone-cancer-types,pending,,,
dr-kiranmayee,2026-07-07,Soft tissue sarcoma treatment,soft-tissue-sarcoma,pending,,,
dr-kiranmayee,2026-07-08,Neuroendocrine tumours NET,neuroendocrine-tumours,pending,,,
dr-kiranmayee,2026-07-09,Cholangiocarcinoma bile duct cancer,bile-duct-cancer,pending,,,
dr-kiranmayee,2026-07-10,Cancer and blood clots DVT,cancer-blood-clots-dvt,pending,,,
dr-kiranmayee,2026-07-11,Immunotherapy checkpoint inhibitors,checkpoint-inhibitors-immunotherapy,pending,,,
dr-kiranmayee,2026-07-12,CAR T-cell therapy explained,car-t-cell-therapy,pending,,,
dr-kiranmayee,2026-07-13,PARP inhibitors ovarian cancer,parp-inhibitors-cancer,pending,,,
dr-kiranmayee,2026-07-14,CDK inhibitors breast cancer,cdk-inhibitors-breast-cancer,pending,,,
dr-kiranmayee,2026-07-15,Combination chemotherapy regimens,combination-chemotherapy,pending,,,
dr-kiranmayee,2026-07-16,Managing weight during chemotherapy,weight-management-chemotherapy,pending,,,
dr-kiranmayee,2026-07-17,Cancer and mental health,cancer-mental-health,pending,,,
dr-kiranmayee,2026-07-18,Exercise during cancer treatment,exercise-during-cancer,pending,,,
dr-kiranmayee,2026-07-19,Cancer pain types and management,cancer-pain-types,pending,,,
dr-kiranmayee,2026-07-20,Cancer end of life care,cancer-end-of-life-care,pending,,,
dr-kiranmayee,2026-07-21,Cancer rehabilitation after treatment,cancer-rehabilitation,pending,,,
dr-kiranmayee,2026-07-22,Return to work after cancer,return-to-work-cancer,pending,,,
