doctor_folder,planned_date,topic_en,slug_hint,status,built_slug,built_url,built_at
dr-kiranmayee,2026-07-23,Cancer insurance India guide,cancer-insurance-india,pending,,,
dr-kiranmayee,2026-07-24,Government cancer schemes India,government-cancer-schemes-india,pending,,,
dr-kiranmayee,2026-07-25,Telemedicine for cancer follow-up,telemedicine-cancer-followup,pending,,,
dr-kiranmayee,2026-07-26,Cancer in young adults,cancer-young-adults,pending,,,
dr-kiranmayee,2026-07-27,Antibody drug conjugates cancer,antibody-drug-conjugates,pending,,,
dr-kiranmayee,2026-07-28,Maintenance therapy in cancer,maintenance-therapy-cancer,pending,,,
dr-kiranmayee,2026-07-29,Adjuvant vs neoadjuvant therapy,adjuvant-neoadjuvant-therapy,pending,,,
dr-kiranmayee,2026-07-30,Dose dense chemotherapy explained,dose-dense-chemotherapy,pending,,,
dr-kiranmayee,2026-07-31,Growth factors in chemotherapy,growth-factors-chemotherapy,pending,,,
dr-kiranmayee,2026-08-01,Febrile neutropenia management,febrile-neutropenia,pending,,,
dr-kiranmayee,2026-08-02,Cancer and heart disease cardio-oncology,cardio-oncology-cancer,pending,,,
dr-kiranmayee,2026-08-03,Second primary cancer risk,second-primary-cancer,pending,,,
dr-kiranmayee,2026-08-04,Cancer treatment at home tips,cancer-treatment-at-home,pending,,,
dr-kiranmayee,2026-08-05,Oral cancer prevention,oral-cancer-prevention,pending,,,
dr-kiranmayee,2026-08-06,Colon cancer prevention,colon-cancer-prevention,pending,,,
dr-kiranmayee,2026-08-07,Pancreatic cancer warning signs,pancreatic-cancer-warning-signs,pending,,,
dr-kiranmayee,2026-08-08,Vulvar cancer treatment,vulvar-cancer-treatment,pending,,,
dr-kiranmayee,2026-08-09,Penile cancer treatment,penile-cancer-treatment,pending,,,
dr-kiranmayee,2026-08-10,Anal cancer treatment,anal-cancer-treatment,pending,,,
dr-kiranmayee,2026-08-11,Adrenal cancer treatment,adrenal-cancer-treatment,pending,,,
dr-kiranmayee,2026-08-12,Cancer genetic counselling,cancer-genetic-counselling,pending,,,
dr-kiranmayee,2026-08-13,Complementary medicine and cancer,complementary-medicine-cancer,pending,,,
dr-kiranmayee,2026-08-14,Hospice care for cancer patients,hospice-care-cancer,pending,,,
dr-kiranmayee,2026-08-15,Cancer caregiver burnout,cancer-caregiver-burnout,pending,,,
dr-basudev,2026-06-27,Bone marrow transplant explained,bone-marrow-transplant-explained,pending,,,
dr-basudev,2026-06-28,Autologous bone marrow transplant,autologous-bmt,pending,,,
dr-basudev,2026-06-29,Allogeneic bone marrow transplant,allogeneic-bmt,pending,,,
dr-basudev,2026-06-30,Stem cell donation process,stem-cell-donation,pending,,,
dr-basudev,2026-07-01,Bone marrow donor compatibility HLA,bone-marrow-donor-compatibility,pending,,,
dr-basudev,2026-07-02,BMT recovery timeline,bmt-recovery-timeline,pending,,,
dr-basudev,2026-07-03,Graft versus host disease GVHD,graft-versus-host-disease,pending,,,
dr-basudev,2026-07-04,Chronic GVHD management,chronic-gvhd-management,pending,,,
dr-basudev,2026-07-05,What is leukemia,what-is-leukemia,pending,,,
dr-basudev,2026-07-06,Acute myeloid leukemia AML,acute-myeloid-leukemia,pending,,,
dr-basudev,2026-07-07,Acute lymphoblastic leukemia ALL,acute-lymphoblastic-leukemia,pending,,,
dr-basudev,2026-07-08,Chronic lymphocytic leukemia CLL,chronic-lymphocytic-leukemia,pending,,,
dr-basudev,2026-07-09,Hairy cell leukemia,hairy-cell-leukemia,pending,,,
dr-basudev,2026-07-10,Myelodysplastic syndrome MDS,myelodysplastic-syndrome,pending,,,
dr-basudev,2026-07-11,Myelofibrosis treatment,myelofibrosis-treatment,pending,,,
dr-basudev,2026-07-12,Polycythemia vera management,polycythemia-vera,pending,,,
dr-basudev,2026-07-13,Essential thrombocythemia,essential-thrombocythemia,pending,,,
dr-basudev,2026-07-14,Aplastic anemia treatment,aplastic-anemia-treatment,pending,,,
dr-basudev,2026-07-15,Thalassemia and stem cell therapy,thalassemia-stem-cell-therapy,pending,,,
dr-basudev,2026-07-16,Hodgkin lymphoma treatment,hodgkin-lymphoma-treatment,pending,,,
dr-basudev,2026-07-17,Diffuse large B-cell lymphoma DLBCL,diffuse-large-b-cell-lymphoma,pending,,,
dr-basudev,2026-07-18,Follicular lymphoma treatment,follicular-lymphoma,pending,,,
dr-basudev,2026-07-19,Mantle cell lymphoma,mantle-cell-lymphoma,pending,,,
dr-basudev,2026-07-20,Burkitt lymphoma,burkitt-lymphoma,pending,,,
dr-basudev,2026-07-21,T-cell lymphoma treatment,t-cell-lymphoma,pending,,,
dr-basudev,2026-07-22,Waldenstrom macroglobulinemia,waldenstrom-macroglobulinemia,pending,,,
dr-basudev,2026-07-23,Multiple myeloma bone pain,multiple-myeloma-bone-pain,pending,,,
dr-basudev,2026-07-24,Smoldering myeloma monitoring,smoldering-myeloma,pending,,,
dr-basudev,2026-07-25,Bortezomib for myeloma,bortezomib-myeloma,pending,,,
dr-basudev,2026-07-26,Daratumumab myeloma treatment,daratumumab-myeloma,pending,,,
dr-basudev,2026-07-27,Venetoclax in blood cancers,venetoclax-blood-cancer,pending,,,
dr-basudev,2026-07-28,Ibrutinib CLL treatment,ibrutinib-cll,pending,,,
dr-basudev,2026-07-29,Rituximab lymphoma treatment,rituximab-lymphoma,pending,,,
dr-basudev,2026-07-30,Bone marrow biopsy procedure,bone-marrow-biopsy-procedure,pending,,,
dr-basudev,2026-07-31,Complete blood count CBC interpretation,cbc-cancer-interpretation,pending,,,
dr-basudev,2026-08-01,Flow cytometry blood cancer,flow-cytometry-cancer,pending,,,
dr-basudev,2026-08-02,FISH testing blood cancer,fish-testing-blood-cancer,pending,,,
dr-basudev,2026-08-03,Blood cancer treatment Hyderabad,blood-cancer-treatment-hyderabad,pending,,,
dr-basudev,2026-08-04,BMT cost India,bmt-cost-india,pending,,,
dr-basudev,2026-08-05,Life after bone marrow transplant,life-after-bmt,pending,,,
dr-basudev,2026-08-06,Infections after BMT,infections-after-bmt,pending,,,
dr-basudev,2026-08-07,Engraftment syndrome after BMT,engraftment-syndrome,pending,,,
dr-basudev,2026-08-08,Peripheral blood stem cell harvest,peripheral-blood-stem-cell-harvest,pending,,,
dr-basudev,2026-08-09,Cord blood transplant,cord-blood-transplant,pending,,,
dr-basudev,2026-08-10,Haploidentical transplant,haploidentical-transplant,pending,,,
dr-basudev,2026-08-11,Reduced intensity conditioning BMT,reduced-intensity-conditioning-bmt,pending,,,
dr-basudev,2026-08-12,NK cell lymphoma treatment,nk-cell-lymphoma,pending,,,
dr-basudev,2026-08-13,Amyloidosis and blood cancer,amyloidosis-blood-cancer,pending,,,
dr-basudev,2026-08-14,Bone marrow failure syndromes,bone-marrow-failure-syndromes,pending,,,
dr-basudev,2026-08-15,Blood cancer diet and nutrition,blood-cancer-diet-nutrition,pending,,,
dr-raghvendra,2026-06-27,What is radiation therapy,what-is-radiation-therapy,pending,,,
dr-raghvendra,2026-06-28,External beam radiation therapy,external-beam-radiation,pending,,,
dr-raghvendra,2026-06-29,IMRT intensity modulated radiation,imrt-radiation-therapy,pending,,,
dr-raghvendra,2026-06-30,IGRT image guided radiation therapy,igrt-radiation-therapy,pending,,,
dr-raghvendra,2026-07-01,Stereotactic radiosurgery SRS,stereotactic-radiosurgery,pending,,,
dr-raghvendra,2026-07-02,SBRT stereotactic body radiation,sbrt-radiation-therapy,pending,,,
dr-raghvendra,2026-07-03,Brachytherapy internal radiation explained,brachytherapy-explained,pending,,,
dr-raghvendra,2026-07-04,High dose rate brachytherapy,high-dose-rate-brachytherapy,pending,,,
dr-raghvendra,2026-07-05,Radiation therapy for breast cancer,breast-cancer-radiation,pending,,,
dr-raghvendra,2026-07-06,Radiation therapy for cervical cancer,cervical-cancer-radiation,pending,,,
dr-raghvendra,2026-07-07,Radiation therapy for prostate cancer,prostate-cancer-radiation,pending,,,
dr-raghvendra,2026-07-08,Radiation therapy for lung cancer,lung-cancer-radiation,pending,,,
dr-raghvendra,2026-07-09,Radiation therapy for head neck cancer,head-neck-radiation-therapy,pending,,,
dr-raghvendra,2026-07-10,Radiation therapy for rectal cancer,rectal-cancer-radiation,pending,,,
dr-raghvendra,2026-07-11,Whole brain radiation therapy,whole-brain-radiation,pending,,,
dr-raghvendra,2026-07-12,Palliative radiation for bone pain,palliative-radiation-bone-pain,pending,,,
dr-raghvendra,2026-07-13,Radiation therapy side effects,radiation-therapy-side-effects,pending,,,
dr-raghvendra,2026-07-14,Skin reactions during radiation therapy,skin-reactions-radiation,pending,,,
dr-raghvendra,2026-07-15,Fatigue during radiation therapy,fatigue-radiation-therapy,pending,,,
dr-raghvendra,2026-07-16,Radiation mucositis treatment,radiation-mucositis,pending,,,
dr-raghvendra,2026-07-17,Radiation enteritis bowel side effects,radiation-enteritis,pending,,,
dr-raghvendra,2026-07-18,Radiation cystitis bladder effects,radiation-cystitis,pending,,,
dr-raghvendra,2026-07-19,Radiation therapy simulation process,radiation-therapy-simulation,pending,,,
dr-raghvendra,2026-07-20,Treatment planning for radiation therapy,radiation-treatment-planning,pending,,,
dr-raghvendra,2026-07-21,How many radiation sessions needed,radiation-therapy-fractions,pending,,,
dr-raghvendra,2026-07-22,Hypofractionated radiation therapy,hypofractionated-radiation,pending,,,
dr-raghvendra,2026-07-23,Concurrent chemoradiation,concurrent-chemoradiation,pending,,,
dr-raghvendra,2026-07-24,Radiation for brain metastases,radiation-brain-metastases,pending,,,
dr-raghvendra,2026-07-25,Spinal cord compression radiation,spinal-cord-compression-radiation,pending,,,
dr-raghvendra,2026-07-26,Radiation for liver tumours SABR,sabr-liver-tumours,pending,,,
dr-raghvendra,2026-07-27,Radioiodine therapy thyroid cancer,radioiodine-therapy-thyroid,pending,,,
dr-raghvendra,2026-07-28,PRRT for neuroendocrine tumours,prrt-neuroendocrine-tumours,pending,,,
dr-raghvendra,2026-07-29,Lutetium DOTATATE therapy,lutetium-dotatate-therapy,pending,,,
dr-raghvendra,2026-07-30,Y90 radioembolization liver cancer,y90-radioembolization,pending,,,
dr-raghvendra,2026-07-31,Radiation therapy vs surgery choice,radiation-vs-surgery,pending,,,
dr-raghvendra,2026-08-01,Proton therapy vs conventional radiation,proton-therapy-vs-radiation,pending,,,
dr-raghvendra,2026-08-02,Radiation therapy quality of life,radiation-quality-of-life,pending,,,
dr-raghvendra,2026-08-03,Radiation therapy myths India,radiation-therapy-myths,pending,,,
dr-raghvendra,2026-08-04,Radiation therapy cost Hyderabad,radiation-therapy-cost-hyderabad,pending,,,
dr-raghvendra,2026-08-05,Radiation therapy safety questions,radiation-therapy-safety,pending,,,
dr-raghvendra,2026-08-06,Re-irradiation for recurrent cancer,re-irradiation-cancer,pending,,,
dr-raghvendra,2026-08-07,Second cancer risk after radiation,second-cancer-after-radiation,pending,,,
dr-raghvendra,2026-08-08,Radiation protection for family members,radiation-protection-family,pending,,,
dr-raghvendra,2026-08-09,Radiation therapy and fertility,radiation-therapy-fertility,pending,,,
dr-raghvendra,2026-08-10,Accelerated partial breast irradiation,accelerated-partial-breast-irradiation,pending,,,
dr-raghvendra,2026-08-11,Intraoperative radiation therapy IORT,intraoperative-radiation-therapy,pending,,,
dr-raghvendra,2026-08-12,Total body irradiation TBI,total-body-irradiation,pending,,,
dr-raghvendra,2026-08-13,Radiofrequency ablation RFA cancer,radiofrequency-ablation-cancer,pending,,,
dr-raghvendra,2026-08-14,TACE transarterial chemoembolization,tace-liver-cancer,pending,,,
dr-raghvendra,2026-08-15,Radiation therapy for esophageal cancer,esophageal-cancer-radiation,pending,,,
dr-craghavendra,2026-06-27,Colon cancer treatment options,colon-cancer-treatment,pending,,,
dr-craghavendra,2026-06-28,Rectal cancer treatment,rectal-cancer-treatment,pending,,,
dr-craghavendra,2026-06-29,Appendix cancer and pseudomyxoma peritonei,appendix-cancer-treatment,pending,,,
dr-craghavendra,2026-06-30,Peritoneal carcinomatosis,peritoneal-carcinomatosis,pending,,,
dr-craghavendra,2026-07-01,CEA tumor marker explained,cea-tumor-marker,pending,,,
dr-craghavendra,2026-07-02,CA 125 test ovarian cancer,ca125-test-explained,pending,,,
dr-craghavendra,2026-07-03,CA 19-9 test pancreatic cancer,ca19-9-test-explained,pending,,,
dr-craghavendra,2026-07-04,AFP test liver cancer,afp-test-liver-cancer,pending,,,
dr-craghavendra,2026-07-05,PSA test prostate cancer,psa-test-explained,pending,,,
dr-craghavendra,2026-07-06,Core needle biopsy procedure,core-needle-biopsy,pending,,,
dr-craghavendra,2026-07-07,Liquid biopsy cancer detection,liquid-biopsy-cancer,pending,,,
dr-craghavendra,2026-07-08,Next generation sequencing cancer,next-generation-sequencing-cancer,pending,,,
dr-craghavendra,2026-07-09,Microsatellite instability MSI,microsatellite-instability,pending,,,
dr-craghavendra,2026-07-10,KRAS mutation colorectal cancer,kras-mutation-colorectal,pending,,,
dr-craghavendra,2026-07-11,EGFR mutation lung cancer,egfr-mutation-lung-cancer,pending,,,
dr-craghavendra,2026-07-12,BRAF mutation cancer treatment,braf-mutation-cancer,pending,,,
dr-craghavendra,2026-07-13,PDL1 expression immunotherapy,pdl1-expression-cancer,pending,,,
dr-craghavendra,2026-07-14,Precision oncology Hyderabad,precision-oncology-hyderabad,pending,,,
dr-craghavendra,2026-07-15,Cancer diet myths,cancer-diet-myths,pending,,,
dr-craghavendra,2026-07-16,Sugar and cancer link,sugar-cancer-link,pending,,,
dr-craghavendra,2026-07-17,Alcohol and cancer risk,alcohol-cancer-risk,pending,,,
dr-craghavendra,2026-07-18,Obesity and cancer risk,obesity-cancer-risk,pending,,,
dr-craghavendra,2026-07-19,Cancer prevention strategies,cancer-prevention-strategies,pending,,,
dr-craghavendra,2026-07-20,Cancer early detection India,cancer-early-detection-india,pending,,,
dr-craghavendra,2026-07-21,Colonoscopy cancer screening,colonoscopy-screening,pending,,,
dr-craghavendra,2026-07-22,Mammography breast screening,mammography-screening,pending,,,
dr-craghavendra,2026-07-23,Pap smear cervical screening,pap-smear-screening,pending,,,
dr-craghavendra,2026-07-24,Response evaluation RECIST criteria,recist-criteria-cancer,pending,,,
dr-craghavendra,2026-07-25,Adjuvant chemotherapy explained,adjuvant-chemotherapy-explained,pending,,,
dr-craghavendra,2026-07-26,Bone marrow suppression chemotherapy,bone-marrow-suppression,pending,,,
dr-craghavendra,2026-07-27,Cancer biomarkers explained,cancer-biomarkers-explained,pending,,,
dr-craghavendra,2026-07-28,Biliary tract cancer treatment,biliary-tract-cancer,pending,,,
dr-craghavendra,2026-07-29,Duodenal cancer,duodenal-cancer-treatment,pending,,,
dr-craghavendra,2026-07-30,Small intestine cancer,small-intestine-cancer-treatment,pending,,,
dr-craghavendra,2026-07-31,Tumor biopsy types explained,tumor-biopsy-types,pending,,,
dr-craghavendra,2026-08-01,Smoking and cancer prevention,smoking-cancer-prevention,pending,,,
dr-craghavendra,2026-08-02,Red meat and cancer risk,red-meat-cancer-risk,pending,,,
dr-craghavendra,2026-08-03,Stress and cancer relationship,stress-cancer-link,pending,,,
dr-craghavendra,2026-08-04,Turmeric and cancer research,turmeric-cancer-research,pending,,,
dr-craghavendra,2026-08-05,Cancer treatment cost India,cancer-treatment-cost-india,pending,,,
dr-craghavendra,2026-08-06,Ayushman Bharat cancer treatment,ayushman-bharat-cancer,pending,,,
dr-craghavendra,2026-08-07,Cancer screening age guidelines,cancer-screening-age-guidelines,pending,,,
dr-craghavendra,2026-08-08,Tumor mutational burden TMB,tumor-mutational-burden,pending,,,
dr-craghavendra,2026-08-09,Microsatellite high MSI-H immunotherapy,msi-high-immunotherapy,pending,,,
dr-craghavendra,2026-08-10,Colorectal cancer follow-up schedule,colorectal-cancer-followup,pending,,,
dr-craghavendra,2026-08-11,KRAS wild-type treatment options,kras-wildtype-colorectal,pending,,,
dr-craghavendra,2026-08-12,Stoma care after colorectal surgery,stoma-care-colorectal,pending,,,
dr-craghavendra,2026-08-13,Rectal bleeding when to see doctor,rectal-bleeding-cancer-signs,pending,,,
dr-craghavendra,2026-08-14,Change in bowel habits cancer warning,bowel-habits-cancer-signs,pending,,,
dr-craghavendra,2026-08-15,Iron deficiency anaemia and cancer,iron-deficiency-anaemia-cancer,pending,,,
dr-imad,2026-06-27,What is HIPEC surgery,what-is-hipec,pending,,,
dr-imad,2026-06-28,HIPEC for ovarian cancer,hipec-ovarian-cancer,pending,,,
dr-imad,2026-06-29,HIPEC for colorectal cancer,hipec-colorectal-cancer,pending,,,
dr-imad,2026-06-30,HIPEC for gastric cancer,hipec-gastric-cancer,pending,,,
dr-imad,2026-07-01,PIPAC procedure explained,pipac-procedure-explained,pending,,,
dr-imad,2026-07-02,PIPAC vs HIPEC comparison,pipac-vs-hipec,pending,,,
dr-imad,2026-07-03,Cytoreductive surgery CRS explained,cytoreductive-surgery-explained,pending,,,
dr-imad,2026-07-04,PCI score peritoneal cancer index,pci-score-peritoneal-cancer,pending,,,
dr-imad,2026-07-05,Peritoneal metastases treatment,peritoneal-metastases-treatment,pending,,,
dr-imad,2026-07-06,Pseudomyxoma peritonei treatment,pseudomyxoma-peritonei,pending,,,
dr-imad,2026-07-07,Appendix cancer mucinous adenocarcinoma,appendix-cancer-mucinous,pending,,,
dr-imad,2026-07-08,Peritoneal mesothelioma treatment,peritoneal-mesothelioma,pending,,,
dr-imad,2026-07-09,Primary peritoneal cancer,primary-peritoneal-cancer,pending,,,
dr-imad,2026-07-10,Gastric cancer surgery options,gastric-cancer-surgery-options,pending,,,
dr-imad,2026-07-11,Total gastrectomy for stomach cancer,total-gastrectomy-stomach-cancer,pending,,,
dr-imad,2026-07-12,D2 dissection gastric cancer,d2-dissection-gastric-cancer,pending,,,
dr-imad,2026-07-13,Esophagogastric junction cancer,esophagogastric-junction-cancer,pending,,,
dr-imad,2026-07-14,Whipple procedure patient guide,whipple-procedure-guide,pending,,,
dr-imad,2026-07-15,Whipple surgery recovery diet,whipple-recovery-diet,pending,,,
dr-imad,2026-07-16,Pylorus-preserving Whipple procedure,pylorus-preserving-whipple,pending,,,
dr-imad,2026-07-17,Distal pancreatectomy and splenectomy,distal-pancreatectomy-splenectomy,pending,,,
dr-imad,2026-07-18,Borderline resectable pancreatic cancer,borderline-resectable-pancreatic,pending,,,
dr-imad,2026-07-19,Hepatobiliary cancer surgery Hyderabad,hepatobiliary-cancer-hyderabad,pending,,,
dr-imad,2026-07-20,Right hepatectomy liver cancer,right-hepatectomy-liver-cancer,pending,,,
dr-imad,2026-07-21,Bile duct Klatskin tumour surgery,klatskin-tumour-surgery,pending,,,
dr-imad,2026-07-22,Gallbladder cancer surgery options,gallbladder-cancer-surgery-options,pending,,,
dr-imad,2026-07-23,Radical cholecystectomy gallbladder,radical-cholecystectomy,pending,,,
dr-imad,2026-07-24,GIST treatment and imatinib,gist-treatment-imatinib,pending,,,
dr-imad,2026-07-25,Retroperitoneal tumour surgery,retroperitoneal-tumour-surgery,pending,,,
dr-imad,2026-07-26,Colorectal liver metastases surgery,colorectal-liver-metastases-crs,pending,,,
dr-imad,2026-07-27,Ovarian cancer surgery and HIPEC,ovarian-cancer-hipec,pending,,,
dr-imad,2026-07-28,BRCA ovarian cancer surgical options,brca-ovarian-cancer-surgery,pending,,,
dr-imad,2026-07-29,Malignant ascites treatment options,malignant-ascites-treatment,pending,,,
dr-imad,2026-07-30,Laparoscopic staging peritoneal cancer,laparoscopic-staging,pending,,,
dr-imad,2026-07-31,Second opinion for HIPEC surgery,second-opinion-hipec,pending,,,
dr-imad,2026-08-01,HIPEC surgery cost India,hipec-cost-india,pending,,,
dr-imad,2026-08-02,Life after HIPEC surgery,life-after-hipec,pending,,,
dr-imad,2026-08-03,Recovery after cytoreductive surgery,recovery-cytoreductive-surgery,pending,,,
dr-imad,2026-08-04,Peritoneal cancer can it be operated,peritoneal-cancer-surgery-possible,pending,,,
dr-imad,2026-08-05,When is HIPEC not recommended,hipec-contraindications,pending,,,
dr-imad,2026-08-06,Intraperitoneal chemotherapy explained,intraperitoneal-chemotherapy,pending,,,
dr-imad,2026-08-07,Gastric cancer peritoneal spread,gastric-cancer-peritoneal-spread,pending,,,
dr-imad,2026-08-08,Appendix rupture and cancer risk,appendix-rupture-cancer-risk,pending,,,
dr-imad,2026-08-09,Liver cancer resection margin,liver-cancer-resection,pending,,,
dr-imad,2026-08-10,Portal vein involvement pancreatic cancer,portal-vein-pancreatic-cancer,pending,,,
dr-imad,2026-08-11,GI cancer Hyderabad second opinion,gi-cancer-second-opinion-hyderabad,pending,,,
dr-imad,2026-08-12,Peritoneal cancer survival explained,peritoneal-cancer-survival,pending,,,
dr-imad,2026-08-13,Laparoscopic vs open cancer surgery,laparoscopic-vs-open-cancer-surgery,pending,,,
dr-imad,2026-08-14,CRS HIPEC vs systemic chemotherapy,crs-hipec-vs-chemotherapy,pending,,,
dr-imad,2026-08-15,What cancers can spread to peritoneum,cancers-that-spread-to-peritoneum,pending,,,
